year,Type,Energy
2010,Geothermal,70.00
2011,Geothermal,755.00
2012,Geothermal,130.00
2013,Geothermal,450.00
2014,Geothermal,559.00
2015,Geothermal,699.00
2016,Geothermal,955.00
2017,Geothermal,"1,009.00"
2018,Geothermal,"1,050.00"
2019,Geothermal,"1,070.00"
2020,Geothermal,"1,300.00"
1995,Wind,7
1996,Wind,7
1997,Wind,8
1998,Wind,28
1999,Wind,58
2000,Wind,210
2001,Wind,364
2002,Wind,703.1
2003,Wind,705
2004,Wind,885
2005,Wind,"1,713.10"
2006,Wind,"2,611.10"
2007,Wind,"3,093.10"
2008,Wind,"3,823.80"
2009,Wind,"5,051.70"
2010,Wind,"6,084.90"
2011,Wind,"6,969.70"
2012,Wind,"7,959.60"
2013,Wind,"10,252.00"
2014,Wind,"11,466.60"
2015,Wind,"12,199.50"
2016,Wind,"12,597.00"
2017,Wind,"15,174.40"
2018,Wind,"17,712.00"
2019,Wind,"20,395.90"
2020,Wind,"24,535.40"
1995,Bioenergy,928
1996,Bioenergy,965
1997,Bioenergy,"1,029.00"
1998,Bioenergy,"1,133.00"
1999,Bioenergy,"1,134.00"
2000,Bioenergy,645
2001,Bioenergy,950
2002,Bioenergy,"1,583.60"
2003,Bioenergy,"1,799.50"
2004,Bioenergy,"3,830.00"
2005,Bioenergy,"3,911.00"
2006,Bioenergy,"3,953.00"
2007,Bioenergy,"4,596.00"
2008,Bioenergy,"2,795.20"
2009,Bioenergy,"2,777.40"
2010,Bioenergy,"2,101.70"
2011,Bioenergy,"3,043.70"
2012,Bioenergy,"3,143.50"
2013,Bioenergy,"3,499.40"
2014,Bioenergy,"3,592.20"
2015,Bioenergy,"3,789.90"
2016,Bioenergy,"3,500.50"
2017,Bioenergy,"3,517.70"
2018,Bioenergy,"3,495.90"
2019,Bioenergy,"3,351.60"
2020,Bioenergy,"3,462.00"
1995,Solar,23.4
1996,Solar,27.8
1997,Solar,33.5
1998,Solar,37.7
1999,Solar,43.5
2000,Solar,50
2001,Solar,58.3
2002,Solar,58.3
2003,Solar,68.6
2004,Solar,78.3
2005,Solar,90.8
2006,Solar,105.2
2007,Solar,123.3
2008,Solar,156.1
2009,Solar,425.4
2010,Solar,"1,530.90"
2011,Solar,"2,559.20"
2012,Solar,"3,826.80"
2013,Solar,"4,416.50"
2014,Solar,"5,531.90"
2015,Solar,"6,838.50"
2016,Solar,"8,072.20"
2017,Solar,"9,929.90"
2018,Solar,"14,848.50"
2019,Solar,"21,033.20"
2020,Solar,"27,717.00"
1995,hydro,"15,731.00"
1996,hydro,"16,852.00"
1997,hydro,"15,733.00"
1998,hydro,"16,563.00"
1999,hydro,"16,720.00"
2000,hydro,"16,933.00"
2001,hydro,"16,054.00"
2002,hydro,"16,490.00"
2003,hydro,"16,331.10"
2004,hydro,"15,612.20"
2005,hydro,"16,029.20"
2006,hydro,"14,517.00"
2007,hydro,"12,056.90"
2008,hydro,"11,869.40"
2009,hydro,"13,548.70"
2010,hydro,"16,806.70"
2011,hydro,"14,083.30"
2012,hydro,"18,269.60"
2013,hydro,"18,421.00"
2014,hydro,"13,445.00"
2015,hydro,"15,318.20"
2016,hydro,"16,284.90"
2017,hydro,"16,020.80"
2018,hydro,"15,967.30"
2019,hydro,"15,149.60"
2020,hydro,"15,199.70"